Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung ohne Migrationshintergrund;Bevölkerung ohne Migrationshintergrund
04011211;Alte Neustadt (Ortsteil);2022-12-31;6 - 15;160;76;82;41;72;34;6;1;86;42
04011211;Alte Neustadt (Ortsteil);2022-12-31;15 - 18;53;33;32;19;18;12;3;2;25;8
04011211;Alte Neustadt (Ortsteil);2022-12-31;18 - 25;250;97;185;58;58;35;7;4;432;226
04011211;Alte Neustadt (Ortsteil);2022-12-31;25 - 30;356;145;259;93;84;45;13;7;586;283
04011211;Alte Neustadt (Ortsteil);2022-12-31;30 - 50;1000;417;719;287;222;105;59;25;1497;665
04011211;Alte Neustadt (Ortsteil);2022-12-31;50 - 65;290;137;171;77;105;54;14;6;830;367
04011211;Alte Neustadt (Ortsteil);2022-12-31;65 oder mehr;183;111;98;62;68;38;17;11;1027;574
04011211;Alte Neustadt (Ortsteil);2022-12-31;Insgesamt;2430;1091;1609;671;692;360;129;60;4613;2232
04011212;Hohentor (Ortsteil);2022-12-31;unter 6;136;56;74;31;58;24;4;1;83;41
04011212;Hohentor (Ortsteil);2022-12-31;6 - 15;154;72;114;51;38;20;2;1;86;46
04011212;Hohentor (Ortsteil);2022-12-31;15 - 18;48;20;30;13;18;7;0;0;30;18
04011212;Hohentor (Ortsteil);2022-12-31;18 - 25;216;90;165;62;46;27;5;1;363;190
04011212;Hohentor (Ortsteil);2022-12-31;25 - 30;274;105;194;75;63;22;17;8;434;226
04011212;Hohentor (Ortsteil);2022-12-31;30 - 50;636;263;449;180;150;64;37;19;906;412
04011212;Hohentor (Ortsteil);2022-12-31;50 - 65;212;86;145;61;63;24;4;1;521;230
04011212;Hohentor (Ortsteil);2022-12-31;65 oder mehr;99;57;66;39;29;16;4;2;435;246
04011212;Hohentor (Ortsteil);2022-12-31;Insgesamt;1775;749;1237;512;465;204;73;33;2858;1409
