Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung ohne Migrationshintergrund;Bevölkerung ohne Migrationshintergrund
04011335;Neue Vahr Südost (Ortsteil);2022-12-31;15 - 18;164;82;48;26;98;47;18;9;35;13
04011335;Neue Vahr Südost (Ortsteil);2022-12-31;18 - 25;279;129;141;66;118;51;20;12;233;115
04011335;Neue Vahr Südost (Ortsteil);2022-12-31;25 - 30;332;155;225;102;81;36;26;17;163;82
04011335;Neue Vahr Südost (Ortsteil);2022-12-31;30 - 50;1375;701;776;426;374;178;225;97;539;264
04011335;Neue Vahr Südost (Ortsteil);2022-12-31;50 - 65;768;413;331;173;263;145;174;95;692;349
04011335;Neue Vahr Südost (Ortsteil);2022-12-31;65 oder mehr;634;390;192;122;245;141;197;127;869;531
04011335;Neue Vahr Südost (Ortsteil);2022-12-31;Insgesamt;4605;2340;2183;1113;1671;832;751;395;2699;1436
0401134;Horn-Lehe (Stadtteil);2022-12-31;unter 6;669;324;194;99;400;187;75;38;629;306
0401134;Horn-Lehe (Stadtteil);2022-12-31;6 - 15;864;416;294;146;482;224;88;46;1055;513
0401134;Horn-Lehe (Stadtteil);2022-12-31;15 - 18;269;138;90;39;156;85;23;14;329;149
0401134;Horn-Lehe (Stadtteil);2022-12-31;18 - 25;1156;545;806;370;300;146;50;29;1875;949
0401134;Horn-Lehe (Stadtteil);2022-12-31;25 - 30;1333;587;1119;480;173;89;41;18;1255;600
0401134;Horn-Lehe (Stadtteil);2022-12-31;30 - 50;2746;1359;1629;784;845;422;272;153;4086;2015
0401134;Horn-Lehe (Stadtteil);2022-12-31;50 - 65;952;514;373;194;437;238;142;82;3870;1979
0401134;Horn-Lehe (Stadtteil);2022-12-31;65 oder mehr;686;394;228;135;338;189;120;70;5702;3372
0401134;Horn-Lehe (Stadtteil);2022-12-31;Insgesamt;8675;4277;4733;2247;3131;1580;811;450;18801;9883
04011341;Horn (Ortsteil);2022-12-31;unter 6;88;46;8;3;65;32;15;11;132;66
04011341;Horn (Ortsteil);2022-12-31;6 - 15;176;84;23;14;128;57;25;13;242;126
04011341;Horn (Ortsteil);2022-12-31;15 - 18;55;37;10;6;36;25;9;6;87;40
04011341;Horn (Ortsteil);2022-12-31;18 - 25;78;42;41;17;31;20;6;5;248;120
04011341;Horn (Ortsteil);2022-12-31;25 - 30;68;42;36;23;27;15;5;4;173;73
04011341;Horn (Ortsteil);2022-12-31;30 - 50;360;190;133;64;171;89;56;37;680;344
04011341;Horn (Ortsteil);2022-12-31;50 - 65;197;107;59;33;103;51;35;23;871;456
04011341;Horn (Ortsteil);2022-12-31;65 oder mehr;162;88;50;26;87;48;25;14;1390;812
04011341;Horn (Ortsteil);2022-12-31;Insgesamt;1184;636;360;186;648;337;176;113;3823;2037
04011342;Lehe (Ortsteil);2022-12-31;unter 6;170;83;60;25;95;50;15;8;162;77
04011342;Lehe (Ortsteil);2022-12-31;6 - 15;206;96;99;47;94;43;13;6;231;119
04011342;Lehe (Ortsteil);2022-12-31;15 - 18;71;32;31;10;35;20;5;2;82;41
04011342;Lehe (Ortsteil);2022-12-31;18 - 25;862;400;646;297;189;89;27;14;1037;529
04011342;Lehe (Ortsteil);2022-12-31;25 - 30;1051;441;942;389;90;43;19;9;653;315
04011342;Lehe (Ortsteil);2022-12-31;30 - 50;1235;543;904;381;252;121;79;41;1371;646
04011342;Lehe (Ortsteil);2022-12-31;50 - 65;251;134;98;48;122;68;31;18;1107;565
04011342;Lehe (Ortsteil);2022-12-31;65 oder mehr;176;102;62;38;85;48;29;16;1703;1027
04011342;Lehe (Ortsteil);2022-12-31;Insgesamt;4022;1831;2842;1235;962;482;218;114;6346;3319
04011343;Lehesterdeich (Ortsteil);2022-12-31;unter 6;411;195;126;71;240;105;45;19;335;163
04011343;Lehesterdeich (Ortsteil);2022-12-31;6 - 15;482;236;172;85;260;124;50;27;582;268
04011343;Lehesterdeich (Ortsteil);2022-12-31;15 - 18;143;69;49;23;85;40;9;6;160;68
04011343;Lehesterdeich (Ortsteil);2022-12-31;18 - 25;216;103;119;56;80;37;17;10;590;300
04011343;Lehesterdeich (Ortsteil);2022-12-31;25 - 30;214;104;141;68;56;31;17;5;429;212
04011343;Lehesterdeich (Ortsteil);2022-12-31;30 - 50;1151;626;592;339;422;212;137;75;2035;1025
04011343;Lehesterdeich (Ortsteil);2022-12-31;50 - 65;504;273;216;113;212;119;76;41;1892;958
04011343;Lehesterdeich (Ortsteil);2022-12-31;65 oder mehr;348;204;116;71;166;93;66;40;2609;1533
04011343;Lehesterdeich (Ortsteil);2022-12-31;Insgesamt;3469;1810;1531;826;1521;761;417;223;8632;4527
04011351;Borgfeld (Ortsteil);2022-12-31;unter 6;126;64;17;9;95;49;14;6;313;150
04011351;Borgfeld (Ortsteil);2022-12-31;6 - 15;259;120;39;19;168;76;52;25;773;386
04011351;Borgfeld (Ortsteil);2022-12-31;15 - 18;95;44;9;5;69;30;17;9;322;169
04011351;Borgfeld (Ortsteil);2022-12-31;18 - 25;111;41;61;18;43;19;7;4;536;256
04011351;Borgfeld (Ortsteil);2022-12-31;25 - 30;49;23;24;11;22;10;3;2;191;77
04011351;Borgfeld (Ortsteil);2022-12-31;30 - 50;440;252;180;97;186;108;74;47;1517;824
04011351;Borgfeld (Ortsteil);2022-12-31;50 - 65;303;159;98;57;168;80;37;22;2177;1086
04011351;Borgfeld (Ortsteil);2022-12-31;65 oder mehr;138;77;51;34;68;34;19;9;1778;953
04011351;Borgfeld (Ortsteil);2022-12-31;Insgesamt;1521;780;479;250;819;406;223;124;7607;3901
0401136;Oberneuland (Stadtteil);2022-12-31;unter 6;340;173;63;33;219;110;58;30;421;203
0401136;Oberneuland (Stadtteil);2022-12-31;6 - 15;555;271;151;77;319;152;85;42;736;369
0401136;Oberneuland (Stadtteil);2022-12-31;15 - 18;151;62;35;14;99;40;17;8;303;135
0401136;Oberneuland (Stadtteil);2022-12-31;18 - 25;158;84;65;39;83;41;10;4;631;292
0401136;Oberneuland (Stadtteil);2022-12-31;25 - 30;157;87;86;45;58;33;13;9;313;159
0401136;Oberneuland (Stadtteil);2022-12-31;30 - 50;1057;595;442;255;442;238;173;102;2044;1084
0401136;Oberneuland (Stadtteil);2022-12-31;50 - 65;593;332;179;99;303;170;111;63;2645;1352
0401136;Oberneuland (Stadtteil);2022-12-31;65 oder mehr;393;201;113;64;207;95;73;42;3473;1867
0401136;Oberneuland (Stadtteil);2022-12-31;Insgesamt;3404;1805;1134;626;1730;879;540;300;10566;5461
04011361;Oberneuland (Ortsteil);2022-12-31;unter 6;340;173;63;33;219;110;58;30;421;203
04011361;Oberneuland (Ortsteil);2022-12-31;6 - 15;555;271;151;77;319;152;85;42;736;369
04011361;Oberneuland (Ortsteil);2022-12-31;15 - 18;151;62;35;14;99;40;17;8;303;135
04011361;Oberneuland (Ortsteil);2022-12-31;18 - 25;158;84;65;39;83;41;10;4;631;292
04011361;Oberneuland (Ortsteil);2022-12-31;25 - 30;157;87;86;45;58;33;13;9;313;159
04011361;Oberneuland (Ortsteil);2022-12-31;30 - 50;1057;595;442;255;442;238;173;102;2044;1084
04011361;Oberneuland (Ortsteil);2022-12-31;50 - 65;593;332;179;99;303;170;111;63;2645;1352
04011361;Oberneuland (Ortsteil);2022-12-31;65 oder mehr;393;201;113;64;207;95;73;42;3473;1867
04011361;Oberneuland (Ortsteil);2022-12-31;Insgesamt;3404;1805;1134;626;1730;879;540;300;10566;5461
0401137;Osterholz (Stadtteil);2022-12-31;unter 6;2017;954;683;327;1095;521;239;106;488;238
0401137;Osterholz (Stadtteil);2022-12-31;6 - 15;3003;1484;1030;525;1541;728;432;231;757;389
0401137;Osterholz (Stadtteil);2022-12-31;15 - 18;1000;478;281;124;569;284;150;70;274;137
0401137;Osterholz (Stadtteil);2022-12-31;18 - 25;1422;627;650;283;639;287;133;57;1433;749
0401137;Osterholz (Stadtteil);2022-12-31;25 - 30;1319;616;714;326;488;224;117;66;868;430
0401137;Osterholz (Stadtteil);2022-12-31;30 - 50;6073;3103;2961;1532;1998;997;1114;574;2992;1468
0401137;Osterholz (Stadtteil);2022-12-31;50 - 65;3742;1925;1494;778;1359;704;889;443;4151;2093
0401137;Osterholz (Stadtteil);2022-12-31;65 oder mehr;2438;1351;730;418;902;473;806;460;5979;3487
0401137;Osterholz (Stadtteil);2022-12-31;Insgesamt;21014;10538;8543;4313;8591;4218;3880;2007;16942;8991
04011371;Ellener Feld (Ortsteil);2022-12-31;unter 6;113;47;25;13;72;28;16;6;43;24
04011371;Ellener Feld (Ortsteil);2022-12-31;6 - 15;114;64;34;21;66;36;14;7;79;36
04011371;Ellener Feld (Ortsteil);2022-12-31;15 - 18;28;16;3;2;21;12;4;2;25;14
04011371;Ellener Feld (Ortsteil);2022-12-31;18 - 25;77;28;46;16;28;9;3;3;162;90
04011371;Ellener Feld (Ortsteil);2022-12-31;25 - 30;119;58;77;36;35;18;7;4;132;62
04011371;Ellener Feld (Ortsteil);2022-12-31;30 - 50;372;175;184;86;125;56;63;33;373;187
04011371;Ellener Feld (Ortsteil);2022-12-31;50 - 65;215;114;87;46;77;36;51;32;551;276
04011371;Ellener Feld (Ortsteil);2022-12-31;65 oder mehr;120;68;37;22;58;31;25;15;804;493
04011371;Ellener Feld (Ortsteil);2022-12-31;Insgesamt;1158;570;493;242;482;226;183;102;2169;1182
04011372;Ellenerbrok-Schevemoor (Ortsteil);2022-12-31;unter 6;602;300;191;90;335;171;76;39;156;78
04011372;Ellenerbrok-Schevemoor (Ortsteil);2022-12-31;6 - 15;895;442;296;141;473;228;126;73;246;132
04011372;Ellenerbrok-Schevemoor (Ortsteil);2022-12-31;15 - 18;301;147;82;35;169;89;50;23;85;45
04011372;Ellenerbrok-Schevemoor (Ortsteil);2022-12-31;18 - 25;426;200;204;89;185;95;37;16;500;249
04011372;Ellenerbrok-Schevemoor (Ortsteil);2022-12-31;25 - 30;421;199;236;110;148;64;37;25;318;159
04011372;Ellenerbrok-Schevemoor (Ortsteil);2022-12-31;30 - 50;1890;960;931;472;628;307;331;181;1042;516
04011372;Ellenerbrok-Schevemoor (Ortsteil);2022-12-31;50 - 65;984;509;394;201;358;198;232;110;1479;731
04011372;Ellenerbrok-Schevemoor (Ortsteil);2022-12-31;65 oder mehr;760;426;232;144;263;134;265;148;2009;1201
04011372;Ellenerbrok-Schevemoor (Ortsteil);2022-12-31;Insgesamt;6279;3183;2566;1282;2559;1286;1154;615;5835;3111
04011373;Tenever (Ortsteil);2022-12-31;unter 6;720;337;300;137;370;182;50;18;93;41
04011373;Tenever (Ortsteil);2022-12-31;6 - 15;1170;564;489;247;564;263;117;54;155;71
04011373;Tenever (Ortsteil);2022-12-31;15 - 18;402;182;135;56;222;104;45;22;45;16
04011373;Tenever (Ortsteil);2022-12-31;18 - 25;555;250;231;102;272;124;52;24;334;200
04011373;Tenever (Ortsteil);2022-12-31;25 - 30;431;196;227;110;166;70;38;16;150;75
04011373;Tenever (Ortsteil);2022-12-31;30 - 50;1875;1014;1009;571;584;304;282;139;432;221
04011373;Tenever (Ortsteil);2022-12-31;50 - 65;1290;668;550;292;451;236;289;140;620;321
04011373;Tenever (Ortsteil);2022-12-31;65 oder mehr;729;418;218;127;282;150;229;141;1166;689
04011373;Tenever (Ortsteil);2022-12-31;Insgesamt;7172;3629;3159;1642;2911;1433;1102;554;2995;1634
04011374;Osterholz (Ortsteil);2022-12-31;unter 6;223;94;21;9;140;59;62;26;129;64
04011374;Osterholz (Ortsteil);2022-12-31;6 - 15;322;155;33;19;188;84;101;52;187;105
04011374;Osterholz (Ortsteil);2022-12-31;15 - 18;109;50;20;8;66;28;23;14;80;46
04011374;Osterholz (Ortsteil);2022-12-31;18 - 25;120;56;41;21;62;28;17;7;264;127
04011374;Osterholz (Ortsteil);2022-12-31;25 - 30;87;42;30;12;50;25;7;5;163;81
04011374;Osterholz (Ortsteil);2022-12-31;30 - 50;779;403;220;111;340;175;219;117;744;369
04011374;Osterholz (Ortsteil);2022-12-31;50 - 65;391;192;104;53;183;88;104;51;911;469
04011374;Osterholz (Ortsteil);2022-12-31;65 oder mehr;194;100;57;27;92;49;45;24;1115;597
04011374;Osterholz (Ortsteil);2022-12-31;Insgesamt;2225;1092;526;260;1121;536;578;296;3593;1858
04011375;Blockdiek (Ortsteil);2022-12-31;unter 6;359;176;146;78;178;81;35;17;67;31
04011375;Blockdiek (Ortsteil);2022-12-31;6 - 15;502;259;178;97;250;117;74;45;90;45
04011375;Blockdiek (Ortsteil);2022-12-31;15 - 18;160;83;41;23;91;51;28;9;39;16
04011375;Blockdiek (Ortsteil);2022-12-31;18 - 25;244;93;128;55;92;31;24;7;173;83
04011375;Blockdiek (Ortsteil);2022-12-31;25 - 30;261;121;144;58;89;47;28;16;105;53
04011375;Blockdiek (Ortsteil);2022-12-31;30 - 50;1157;551;617;292;321;155;219;104;401;175
04011375;Blockdiek (Ortsteil);2022-12-31;50 - 65;862;442;359;186;290;146;213;110;590;296
04011375;Blockdiek (Ortsteil);2022-12-31;65 oder mehr;635;339;186;98;207;109;242;132;885;507
04011375;Blockdiek (Ortsteil);2022-12-31;Insgesamt;4180;2064;1799;887;1518;737;863;440;2350;1206
0401138;Hemelingen (Stadtteil);2022-12-31;unter 6;1784;880;663;333;1012;494;109;53;777;366
0401138;Hemelingen (Stadtteil);2022-12-31;6 - 15;2444;1187;1004;481;1235;604;205;102;1186;560
0401138;Hemelingen (Stadtteil);2022-12-31;15 - 18;805;349;339;127;411;198;55;24;485;223
0401138;Hemelingen (Stadtteil);2022-12-31;18 - 25;1575;661;939;388;573;247;63;26;1824;863
0401138;Hemelingen (Stadtteil);2022-12-31;25 - 30;1376;616;921;403;398;179;57;34;1411;665
0401138;Hemelingen (Stadtteil);2022-12-31;30 - 50;5816;2702;3564;1648;1714;793;538;261;5553;2709
0401138;Hemelingen (Stadtteil);2022-12-31;50 - 65;2855;1340;1618;739;889;424;348;177;6661;3242
0401138;Hemelingen (Stadtteil);2022-12-31;65 oder mehr;1533;867;805;463;456;246;272;158;7141;3997
0401138;Hemelingen (Stadtteil);2022-12-31;Insgesamt;18188;8602;9853;4582;6688;3185;1647;835;25038;12625
04011381;Sebaldsbrück (Ortsteil);2022-12-31;unter 6;415;216;132;67;253;131;30;18;159;70
04011381;Sebaldsbrück (Ortsteil);2022-12-31;6 - 15;552;288;184;100;318;162;50;26;269;126
04011381;Sebaldsbrück (Ortsteil);2022-12-31;15 - 18;183;84;63;25;105;55;15;4;87;36
04011381;Sebaldsbrück (Ortsteil);2022-12-31;18 - 25;305;125;164;67;127;52;14;6;395;188
04011381;Sebaldsbrück (Ortsteil);2022-12-31;25 - 30;318;152;204;96;95;42;19;14;268;128
04011381;Sebaldsbrück (Ortsteil);2022-12-31;30 - 50;1415;663;801;385;482;222;132;56;1187;562
04011381;Sebaldsbrück (Ortsteil);2022-12-31;50 - 65;765;370;386;185;281;136;98;49;1493;720
04011381;Sebaldsbrück (Ortsteil);2022-12-31;65 oder mehr;408;228;215;125;133;74;60;29;1742;971
04011381;Sebaldsbrück (Ortsteil);2022-12-31;Insgesamt;4361;2126;2149;1050;1794;874;418;202;5600;2801
04011382;Hastedt (Ortsteil);2022-12-31;unter 6;338;170;153;79;168;83;17;8;217;113
04011382;Hastedt (Ortsteil);2022-12-31;6 - 15;350;166;172;73;151;79;27;14;310;146
04011382;Hastedt (Ortsteil);2022-12-31;15 - 18;128;38;80;22;47;16;1;0;115;51
04011382;Hastedt (Ortsteil);2022-12-31;18 - 25;391;153;291;108;93;42;7;3;547;272
04011382;Hastedt (Ortsteil);2022-12-31;25 - 30;361;145;277;113;74;27;10;5;537;256
04011382;Hastedt (Ortsteil);2022-12-31;30 - 50;1258;541;880;358;296;140;82;43;1771;871
04011382;Hastedt (Ortsteil);2022-12-31;50 - 65;539;231;354;140;159;76;26;15;1893;951
04011382;Hastedt (Ortsteil);2022-12-31;65 oder mehr;262;145;162;88;76;45;24;12;1627;945
04011382;Hastedt (Ortsteil);2022-12-31;Insgesamt;3627;1589;2369;981;1064;508;194;100;7017;3605
04011383;Hemelingen (Ortsteil);2022-12-31;unter 6;568;265;228;107;319;148;21;10;149;66
04011383;Hemelingen (Ortsteil);2022-12-31;6 - 15;899;441;425;202;432;214;42;25;241;113
04011383;Hemelingen (Ortsteil);2022-12-31;15 - 18;311;143;145;60;153;77;13;6;101;49
04011383;Hemelingen (Ortsteil);2022-12-31;18 - 25;589;252;346;145;226;100;17;7;406;183
04011383;Hemelingen (Ortsteil);2022-12-31;25 - 30;457;196;306;126;136;63;15;7;289;135
04011383;Hemelingen (Ortsteil);2022-12-31;30 - 50;1882;848;1263;575;507;223;112;50;1162;544
04011383;Hemelingen (Ortsteil);2022-12-31;50 - 65;904;413;607;280;229;103;68;30;1320;595
04011383;Hemelingen (Ortsteil);2022-12-31;65 oder mehr;451;256;294;173;100;49;57;34;1323;728
04011383;Hemelingen (Ortsteil);2022-12-31;Insgesamt;6061;2814;3614;1668;2102;977;345;169;4991;2413
04011384;Arbergen (Ortsteil);2022-12-31;unter 6;198;99;62;34;125;61;11;4;131;59
04011384;Arbergen (Ortsteil);2022-12-31;6 - 15;296;137;97;49;154;69;45;19;229;113
04011384;Arbergen (Ortsteil);2022-12-31;15 - 18;100;43;22;6;64;30;14;7;100;50
04011384;Arbergen (Ortsteil);2022-12-31;18 - 25;136;66;61;36;66;26;9;4;244;110
04011384;Arbergen (Ortsteil);2022-12-31;25 - 30;103;54;53;25;46;25;4;4;159;77
04011384;Arbergen (Ortsteil);2022-12-31;30 - 50;551;293;270;149;200;99;81;45;785;412
04011384;Arbergen (Ortsteil);2022-12-31;50 - 65;286;142;117;58;104;46;65;38;1054;528
04011384;Arbergen (Ortsteil);2022-12-31;65 oder mehr;157;89;62;35;58;31;37;23;1373;763
04011384;Arbergen (Ortsteil);2022-12-31;Insgesamt;1827;923;744;392;817;387;266;144;4075;2112
04011385;Mahndorf (Ortsteil);2022-12-31;unter 6;265;130;88;46;147;71;30;13;121;58
04011385;Mahndorf (Ortsteil);2022-12-31;6 - 15;347;155;126;57;180;80;41;18;137;62
04011385;Mahndorf (Ortsteil);2022-12-31;15 - 18;83;41;29;14;42;20;12;7;82;37
04011385;Mahndorf (Ortsteil);2022-12-31;18 - 25;154;65;77;32;61;27;16;6;232;110
04011385;Mahndorf (Ortsteil);2022-12-31;25 - 30;137;69;81;43;47;22;9;4;158;69
04011385;Mahndorf (Ortsteil);2022-12-31;30 - 50;710;357;350;181;229;109;131;67;648;320
04011385;Mahndorf (Ortsteil);2022-12-31;50 - 65;361;184;154;76;116;63;91;45;901;448
04011385;Mahndorf (Ortsteil);2022-12-31;65 oder mehr;255;149;72;42;89;47;94;60;1076;590
04011385;Mahndorf (Ortsteil);2022-12-31;Insgesamt;2312;1150;977;491;911;439;424;220;3355;1694
040114;West (Stadtbezirk);2022-12-31;unter 6;4195;2053;1780;856;2292;1127;123;70;1639;797
040114;West (Stadtbezirk);2022-12-31;6 - 15;5328;2586;2290;1106;2911;1423;127;57;2265;1078
040114;West (Stadtbezirk);2022-12-31;15 - 18;1710;783;721;313;955;458;34;12;816;382
040114;West (Stadtbezirk);2022-12-31;18 - 25;4305;1859;2872;1136;1356;682;77;41;4061;2089
040114;West (Stadtbezirk);2022-12-31;25 - 30;4014;1740;2962;1232;941;456;111;52;3989;1991
040114;West (Stadtbezirk);2022-12-31;30 - 50;13411;6248;9312;4328;3526;1645;573;275;12780;6212
040114;West (Stadtbezirk);2022-12-31;50 - 65;5995;2748;3850;1753;1819;810;326;185;13143;6622
040114;West (Stadtbezirk);2022-12-31;65 oder mehr;3154;1687;1930;1067;927;445;297;175;13639;7735
040114;West (Stadtbezirk);2022-12-31;Insgesamt;42112;19704;25717;11791;14727;7046;1668;867;52332;26906
04011411;Blockland (Ortsteil);2022-12-31;unter 6;5;2;1;1;4;1;0;0;25;10
04011411;Blockland (Ortsteil);2022-12-31;6 - 15;4;1;3;0;1;1;0;0;37;17
04011411;Blockland (Ortsteil);2022-12-31;15 - 18;0;0;0;0;0;0;0;0;6;3
04011411;Blockland (Ortsteil);2022-12-31;18 - 25;4;3;4;3;0;0;0;0;15;8
04011411;Blockland (Ortsteil);2022-12-31;25 - 30;2;2;1;1;1;1;0;0;16;8
04011411;Blockland (Ortsteil);2022-12-31;30 - 50;6;3;3;2;3;1;0;0;111;55
04011411;Blockland (Ortsteil);2022-12-31;50 - 65;4;2;2;1;2;1;0;0;100;46
04011411;Blockland (Ortsteil);2022-12-31;65 oder mehr;3;3;3;3;0;0;0;0;94;52
04011411;Blockland (Ortsteil);2022-12-31;Insgesamt;28;16;17;11;11;5;0;0;404;199
0401142;Findorff (Stadtteil);2022-12-31;unter 6;525;251;172;82;304;138;49;31;638;293
0401142;Findorff (Stadtteil);2022-12-31;6 - 15;650;312;203;101;418;198;29;13;836;406
0401142;Findorff (Stadtteil);2022-12-31;15 - 18;178;89;52;23;121;65;5;1;280;137
0401142;Findorff (Stadtteil);2022-12-31;18 - 25;605;258;398;154;189;96;18;8;1452;767
0401142;Findorff (Stadtteil);2022-12-31;25 - 30;719;329;511;219;168;90;40;20;1694;902
0401142;Findorff (Stadtteil);2022-12-31;30 - 50;2199;1115;1307;671;717;350;175;94;4692;2352
0401142;Findorff (Stadtteil);2022-12-31;50 - 65;958;511;465;242;419;219;74;50;4446;2351
0401142;Findorff (Stadtteil);2022-12-31;65 oder mehr;618;336;315;177;238;116;65;43;4977;2845
0401142;Findorff (Stadtteil);2022-12-31;Insgesamt;6452;3201;3423;1669;2574;1272;455;260;19015;10053
04011421;Regensburger Straße (Ortsteil);2022-12-31;unter 6;158;70;56;28;88;36;14;6;180;65
04011421;Regensburger Straße (Ortsteil);2022-12-31;6 - 15;192;91;70;33;114;53;8;5;228;113
04011421;Regensburger Straße (Ortsteil);2022-12-31;15 - 18;53;28;13;9;38;19;2;0;64;31
04011421;Regensburger Straße (Ortsteil);2022-12-31;18 - 25;221;101;144;60;72;38;5;3;435;239
04011421;Regensburger Straße (Ortsteil);2022-12-31;25 - 30;231;89;169;61;56;25;6;3;512;271
04011421;Regensburger Straße (Ortsteil);2022-12-31;30 - 50;685;325;443;215;200;89;42;21;1317;647
04011421;Regensburger Straße (Ortsteil);2022-12-31;50 - 65;300;151;184;95;104;46;12;10;1152;611
04011421;Regensburger Straße (Ortsteil);2022-12-31;65 oder mehr;168;94;108;61;44;23;16;10;954;529
04011421;Regensburger Straße (Ortsteil);2022-12-31;Insgesamt;2008;949;1187;562;716;329;105;58;4842;2506
04011422;Findorff-Bürgerweide (Ortsteil);2022-12-31;unter 6;111;60;45;21;60;36;6;3;140;71
04011422;Findorff-Bürgerweide (Ortsteil);2022-12-31;6 - 15;170;75;51;25;114;47;5;3;171;79
04011422;Findorff-Bürgerweide (Ortsteil);2022-12-31;15 - 18;56;29;17;10;38;19;1;0;66;34
04011422;Findorff-Bürgerweide (Ortsteil);2022-12-31;18 - 25;174;66;123;40;46;24;5;2;435;235
04011422;Findorff-Bürgerweide (Ortsteil);2022-12-31;25 - 30;217;111;152;73;54;32;11;6;586;324
04011422;Findorff-Bürgerweide (Ortsteil);2022-12-31;30 - 50;616;323;382;205;190;93;44;25;1254;590
04011422;Findorff-Bürgerweide (Ortsteil);2022-12-31;50 - 65;258;142;129;71;112;62;17;9;1015;511
04011422;Findorff-Bürgerweide (Ortsteil);2022-12-31;65 oder mehr;168;83;87;44;72;33;9;6;810;430
04011422;Findorff-Bürgerweide (Ortsteil);2022-12-31;Insgesamt;1770;889;986;489;686;346;98;54;4477;2274
04011423;Weidedamm (Ortsteil);2022-12-31;unter 6;255;121;70;33;156;66;29;22;315;156
04011423;Weidedamm (Ortsteil);2022-12-31;6 - 15;284;144;80;42;188;97;16;5;435;213
04011423;Weidedamm (Ortsteil);2022-12-31;15 - 18;68;31;22;4;44;26;2;1;149;72
04011423;Weidedamm (Ortsteil);2022-12-31;18 - 25;206;89;129;53;69;33;8;3;576;290
04011423;Weidedamm (Ortsteil);2022-12-31;25 - 30;269;128;188;84;58;33;23;11;590;306
04011423;Weidedamm (Ortsteil);2022-12-31;30 - 50;890;462;477;248;325;167;88;47;2102;1106
04011423;Weidedamm (Ortsteil);2022-12-31;50 - 65;394;215;148;75;202;110;44;30;2236;1209
04011423;Weidedamm (Ortsteil);2022-12-31;65 oder mehr;277;157;116;70;121;60;40;27;3154;1854
04011423;Weidedamm (Ortsteil);2022-12-31;Insgesamt;2643;1347;1230;609;1163;592;250;146;9557;5206
04011424;In den Hufen (Ortsteil);2022-12-31;unter 6;1;0;1;0;0;0;0;0;3;1
04011424;In den Hufen (Ortsteil);2022-12-31;6 - 15;4;2;2;1;2;1;0;0;2;1
04011424;In den Hufen (Ortsteil);2022-12-31;15 - 18;1;1;0;0;1;1;0;0;1;0
04011424;In den Hufen (Ortsteil);2022-12-31;18 - 25;4;2;2;1;2;1;0;0;6;3
04011424;In den Hufen (Ortsteil);2022-12-31;25 - 30;2;1;2;1;0;0;0;0;6;1
04011424;In den Hufen (Ortsteil);2022-12-31;30 - 50;8;5;5;3;2;1;1;1;19;9
04011424;In den Hufen (Ortsteil);2022-12-31;50 - 65;6;3;4;1;1;1;1;1;43;20
04011424;In den Hufen (Ortsteil);2022-12-31;65 oder mehr;5;2;4;2;1;0;0;0;59;32
04011424;In den Hufen (Ortsteil);2022-12-31;Insgesamt;31;16;20;9;9;5;2;2;139;67
0401143;Walle (Stadtteil);2022-12-31;unter 6;1406;693;558;279;808;392;40;22;563;284
0401143;Walle (Stadtteil);2022-12-31;6 - 15;1672;835;659;325;971;492;42;18;732;353
0401143;Walle (Stadtteil);2022-12-31;15 - 18;519;224;197;78;308;140;14;6;282;125
0401143;Walle (Stadtteil);2022-12-31;18 - 25;1443;631;962;372;448;238;33;21;1518;775
0401143;Walle (Stadtteil);2022-12-31;25 - 30;1437;641;1007;438;385;182;45;21;1574;746
0401143;Walle (Stadtteil);2022-12-31;30 - 50;4402;2070;2902;1361;1303;610;197;99;4792;2305
0401143;Walle (Stadtteil);2022-12-31;50 - 65;1845;845;1176;526;578;264;91;55;4652;2282
0401143;Walle (Stadtteil);2022-12-31;65 oder mehr;892;486;531;298;278;140;83;48;4208;2370
0401143;Walle (Stadtteil);2022-12-31;Insgesamt;13616;6425;7992;3677;5079;2458;545;290;18321;9240
04011431;Utbremen (Ortsteil);2022-12-31;unter 6;165;79;64;36;99;41;2;2;44;18
04011431;Utbremen (Ortsteil);2022-12-31;6 - 15;195;113;68;31;127;82;0;0;63;28
04011431;Utbremen (Ortsteil);2022-12-31;15 - 18;66;25;19;8;43;16;4;1;28;7
04011431;Utbremen (Ortsteil);2022-12-31;18 - 25;148;71;78;28;70;43;0;0;142;75
04011431;Utbremen (Ortsteil);2022-12-31;25 - 30;141;59;95;39;43;19;3;1;125;56
04011431;Utbremen (Ortsteil);2022-12-31;30 - 50;477;228;293;147;166;72;18;9;358;197
04011431;Utbremen (Ortsteil);2022-12-31;50 - 65;230;111;137;64;79;42;14;5;408;214
04011431;Utbremen (Ortsteil);2022-12-31;65 oder mehr;127;70;84;48;33;15;10;7;486;279
04011431;Utbremen (Ortsteil);2022-12-31;Insgesamt;1549;756;838;401;660;330;51;25;1654;874
04011432;Steffensweg (Ortsteil);2022-12-31;unter 6;163;78;67;30;94;48;2;0;83;44
