12411-03-03: Bevölkerung nach Geschlecht, Nationalität und Altersgruppen bis 90+ (Stand  31.12.)
Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1)
;;;;insgesamt;männlich;weiblich;Deutsche;Deutsche;Deutsche;Ausländer 2);Ausländer 2);Ausländer 2)
;;;;;;;zusammen;männlich;weiblich;zusammen;männlich;weiblich
04011241;Mittelshuchting (Ortsteil);2021-12-31;45 - 50;633;311;322;412;198;214;221;113;108
04011241;Mittelshuchting (Ortsteil);2021-12-31;50 - 55;744;363;381;563;262;301;181;101;80
04011241;Mittelshuchting (Ortsteil);2021-12-31;55 - 60;787;394;393;660;323;337;127;71;56
04011241;Mittelshuchting (Ortsteil);2021-12-31;60 - 65;651;319;332;565;276;289;86;43;43
04011241;Mittelshuchting (Ortsteil);2021-12-31;65 - 70;562;253;309;489;220;269;73;33;40
04011241;Mittelshuchting (Ortsteil);2021-12-31;70 - 75;502;232;270;461;211;250;41;21;20
04011241;Mittelshuchting (Ortsteil);2021-12-31;75 - 80;408;182;226;382;167;215;26;15;11
04011241;Mittelshuchting (Ortsteil);2021-12-31;80 - 85;539;207;332;516;199;317;23;8;15
04011241;Mittelshuchting (Ortsteil);2021-12-31;85 - 90;247;110;137;237;104;133;10;6;4
04011241;Mittelshuchting (Ortsteil);2021-12-31;90 und mehr;98;36;62;92;35;57;6;1;5
04011241;Mittelshuchting (Ortsteil);2021-12-31;Insgesamt;11398;5634;5764;8209;3952;4257;3189;1682;1507
04011242;Sodenmatt (Ortsteil);2021-12-31;unter 3;270;151;119;165;102;63;105;49;56
04011242;Sodenmatt (Ortsteil);2021-12-31;3 - 6;284;148;136;163;90;73;121;58;63
04011242;Sodenmatt (Ortsteil);2021-12-31;6 - 10;322;170;152;207;105;102;115;65;50
04011242;Sodenmatt (Ortsteil);2021-12-31;10 - 15;363;186;177;226;112;114;137;74;63
04011242;Sodenmatt (Ortsteil);2021-12-31;15 - 18;232;116;116;173;90;83;59;26;33
